	19	27	36	43	51	59	60	61
c116402_g1	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00
c69501_g1	0.00	1.00	2.00	0.00	0.00	2.00	0.00	0.00
c151669_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c138258_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c90623_g1	1099.79	1638.82	1137.86	15.00	15.00	15.00	15.00	26.00
c184949_g1	0.00	0.00	0.00	0.00	0.00	0.00	1.00	2.00
c151344_g1	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
c40911_g1	0.00	1.00	1.00	1.00	0.00	1.00	0.00	0.00
c170178_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c100826_g1	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
c207400_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c141786_g1	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
c80135_g2	16.00	4.00	0.00	7.00	3.00	4.00	4.00	7.00
c52619_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c92714_g13	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00
c79182_g2	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00
c70888_g1	5.00	4.00	2.00	2.00	0.00	0.00	0.00	3.00
c53295_g2	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
c211292_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c112984_g1	0.00	1.00	0.00	1.00	1.00	0.00	0.00	0.00
c199522_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c149208_g1	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
c33562_g1	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00
c52198_g1	3.00	0.00	2.00	1.00	2.00	0.00	1.00	0.00
c86169_g10	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00
c185805_g1	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
c91933_g3	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00
c68720_g1	0.00	0.00	1.00	2.00	1.00	0.00	0.00	0.00
c142668_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
c89362_g1	7.00	15.00	28.00	71.00	53.00	75.00	46.00	89.00
c51838_g1	0.00	1.00	0.00	0.00	2.00	2.00	1.00	3.00
c174804_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c2861_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
c45723_g1	1.00	0.00	0.00	2.00	0.00	0.00	0.00	1.00
c92618_g3	33566.99	1955.00	4394.00	503.00	625.00	622.99	558.00	570.00
c102879_g1	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00
c30093_g1	1.00	0.00	0.00	0.00	0.00	1.00	0.00	2.00
c143301_g1	0.00	1.00	3.00	0.00	0.00	0.00	1.00	0.00
c117006_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c34735_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c91725_g2	0.00	3.00	1.00	3.00	3.00	4.00	1.00	3.00
c61563_g1	3.00	1.00	1.00	1.00	2.00	1.00	5.00	0.00
c197496_g1	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
c55375_g1	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
c134528_g1	0.00	0.00	2.00	0.00	1.00	0.00	0.00	0.00
c167403_g1	0.00	1.00	2.00	0.00	0.00	0.00	0.00	0.00
c116727_g1	0.00	0.00	0.00	0.00	1.00	0.00	1.00	1.00
c142811_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c201706_g1	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
c92991_g1	675.00	849.00	1052.00	1451.00	1056.00	1145.00	824.00	1209.00
c92435_g7	275.00	213.00	206.00	189.00	182.00	170.00	151.00	193.00
c89466_g3	20.00	33.00	19.00	30.00	14.00	22.00	20.00	25.00
c186086_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c113590_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c212533_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c18896_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c49556_g1	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
